text,label,sentiment
so there is no way for me to plug it in here in the us unless i go by a converter.,0,negative
"good case, excellent value.",1,positive
great for the jawbone.,1,positive
tied to charger for conversations lasting more than 45 minutes.major problems!!,0,negative
the mic is great.,1,positive
i have to jiggle the plug to get it to line up right to get decent volume.,0,negative
"if you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,negative
if you are razr owner...you must have this!,1,positive
"needless to say, i wasted my money.",0,negative
what a waste of money and time!.,0,negative
and the sound quality is great.,1,positive
he was very impressed when going from the original battery to the extended battery.,1,positive
if the two were seperated by a mere 5+ ft i started to notice excessive static and garbled sound from the headset.,0,negative
very good quality though,1,positive
"the design is very odd, as the ear ""clip"" is not very comfortable at all.",0,negative
highly recommend for any one who has a blue tooth phone.,1,positive
i advise everyone do not be fooled!,0,negative
so far so good!.,1,positive
works great!.,1,positive
it clicks into place in a way that makes you wonder how long that mechanism would last.,0,negative
"i went on motorola's website and followed all directions, but could not get it to pair again.",0,negative
i bought this to use with my kindle fire and absolutely loved it!,1,positive
the commercials are the most misleading.,0,negative
i have yet to run this new battery below two bars and that's three days without charging.,1,positive
i bought it for my mother and she had a problem with the battery.,0,negative
great pocket pc / phone combination.,1,positive
i've owned this phone for 7 months now and can say that it's the best mobile phone i've had.,1,positive
i didn't think that the instructions provided were helpful to me.,0,negative
people couldnt hear me talk and i had to pull out the earphone and talk on the phone.,0,negative
doesn't hold charge.,0,negative
"this is a simple little phone to use, but the breakage is unacceptible.",0,negative
this product is ideal for people like me whose ears are very sensitive.,1,positive
it is unusable in a moving car at freeway speed.,0,negative
i have two more years left in this contract and i hate this phone.,0,negative
car charger as well as ac charger are included to make sure you never run out of juice.highy recommended,1,positive
you need at least 3 mins to get to your phone book from the time you first turn on the phone.battery life is short.,0,negative
it has kept up very well.,1,positive
poor talk time performance.,0,negative
the case is great and works fine with the 680.,1,positive
worthless product.,0,negative
"it has a great camera thats 2mp, and the pics are nice and clear with great picture quality.",1,positive
i was not impressed by this product.,0,negative
nice headset priced right.,1,positive
i only hear garbage for audio.,0,negative
excellent bluetooth headset.,1,positive
it has all the features i want,1,positive
who in their right mind is gonna buy this battery?.,0,negative
after arguing with verizon regarding the dropped calls we returned the phones after two days.,0,negative
this case seems well made.,1,positive
disappointed with battery.,0,negative
not loud enough and doesn't turn on like it should.,0,negative
good protection and does not make phone too bulky.,1,positive
a usable keyboard actually turns a pda into a real-world useful machine instead of just a neat gadget.,1,positive
this phone is pretty sturdy and i've never had any large problems with it.,1,positive
i love this thing!,1,positive
everything about it is fine and reasonable for the price i.e.,1,positive
very disappointed.,0,negative
i even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,positive
i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end.,1,positive
the buttons for on and off are bad.,0,negative
essentially you can forget microsoft's tech support.,0,negative
"i really recommend this faceplates since it looks very nice, elegant and cool.",1,positive
these headphones were a great find - and i think they are perhaps the best purchase i've made in the last several years - seriously.,1,positive
buy a different phone - but not this.,0,negative
you have to hold the phone at a particular angle for the other party to hear you clearly.,0,negative
the one big drawback of the mp3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,negative
"a week later after i activated it, it suddenly died.",0,negative
it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes.,1,positive
great for ipods too.,1,positive
this device is great in several situations:1.),1,positive
mic doesn't work.,0,negative
"even in my bmw 3 series which is fairly quiet, i have trouble hearing what the other person is saying.",0,negative
great choice!,1,positive
nice docking station for home or work.,1,positive
this is a beautiful phone.,1,positive
love this product.,1,positive
do not buy for d807...wrongly advertised for d807.,0,negative
this is a great little item.,1,positive
"i love this phone , it is very handy and has a lot of features .",1,positive
i purchased this and within 2 days it was no longer working!!!!!!!!!,0,negative
i wear it everyday and it holds up very well.,1,positive
not a good bargain.,0,negative
"well packaged, arrived on time, and works as intended.",1,positive
the battery runs down quickly.,0,negative
"this item worked great, but it broke after 6 months of use.",0,negative
the headsets are easy to use and everyone loves them.,1,positive
this phone works great.,1,positive
the construction of the headsets is poor.,0,negative
product was excellent and works better than the verizon one and boy was it cheaper!,1,positive
the phone loads super!,1,positive
"for a product that costs as much as this one does, i expect it to work far better and with greater ease than this thing does.",0,negative
made very sturdy.,1,positive
worked great!.,1,positive
the ear buds only play music in one ear.,0,negative
dont waste your money...,0,negative
will order from them again!,1,positive
if you plan to use this in a car forget about it.,0,negative
i found this product to be waaay too big.,0,negative
best i've found so far .... i've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,positive
i'm very disappointed with my decision.,0,negative
integrated seamlessly with the motorola razr phone.,1,positive
"buyer beware, you could flush money right down the toilet.",0,negative
definitely a bargain.,1,positive
the price was very good and with the free shipping and all it was a good purchase.,1,positive
i received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,negative
"pros:-good camera - very nice pictures , also has cool styles like black and white, and more.",1,positive
"that's a huge design flaw (unless i'm not using it correctly, which i don't think is the case).",0,negative
"i love my 350 headset.. my jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,positive
"the camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,negative
i purcashed this for the car charger and it does not work.,0,negative
"sound quality on both end is excellent, i use headset to call my wife and ask my wife to use headset to call me !2.",1,positive
this phone is slim and light and the display is beautiful.,1,positive
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,positive
"great product, fast shipping!.",1,positive
absolutely great.,1,positive
the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad.,1,positive
i got this phone around the end of may and i'm completely unhappy with it.,0,negative
it is very comfortable on the ear.,1,positive
it has been a winner for us.,1,positive
)setup couldn't have been simpler.,1,positive
i've tried several different earpieces for my cell phone and this jabra one is the first one i've found that fits my ear comfortably.,1,positive
could not get strong enough signal.,0,negative
iam very pleased with my purchase.,1,positive
bad quality.,0,negative
gets the job done.,1,positive
great audio!.,1,positive
basically the service was very bad.,0,negative
it did not work in my cell phone plug i am very up set with the charger!.,0,negative
"i've only had my bluetooth for a few weeks, but i really like it.",1,positive
the bt headset was such a disapoinment.,0,negative
it is so small and you don't even realize that it is there after a while of getting used to it.,1,positive
the accompanied software is almost brilliant.,1,positive
headset works great & was packaged nicely to avoid any damage.,1,positive
!i definitly recommend!!,1,positive
buyer--be very careful!!!!!.,0,negative
the majority of the logitech earbud headsets failed.,0,negative
very good stuff for the price.,1,positive
my headset works just peachy-keen.,1,positive
in my house i was getting dropped coverage upstairs and no coverage in my basement.,0,negative
voice recognition is tremendous!,1,positive
what a waste.,0,negative
"during several different 2 minute calls, i experienced 5 drops and it was in an area that had 5 bars.",0,negative
i was not happy with this item.,0,negative
very disappointed.,0,negative
the phone takes forever to charge like 2 to 5 hours literally.,0,negative
i got this phone on reccomendation from a relative and i'm glad i did.,1,positive
what a waste of time!,0,negative
its reception is very very poor.,0,negative
items stated as included from the description are not included.,0,negative
"after 3 months, screen just went black all of a sudden.",0,negative
i was hoping for more.,0,negative
"audio quality is poor, very poor.",0,negative
i had absolutely no problem with this headset linking to my 8530 blackberry curve!,1,positive
"i know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.well, this one works great.",1,positive
i've bought $5 wired headphones that sound better than these.,0,negative
this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,positive
"nice quality build, unlike some cheap s*** out there.",1,positive
this item is fantastic and works perfectly!,1,positive
and i just love the colors!,1,positive
w810i is just superb.,1,positive
"all i can do is whine on the internet, so here it goes.the more i use the thing the less i like it.",0,negative
great charger.,1,positive
this is essentially a communications tool that does not communicate.,0,negative
works like a charm; it work the same as the one i got with the phone.,1,positive
"i still maintain that monkeys shouldn't make headphones, we just obviously don't share enough dna to copy the design over to humans.",0,negative
great value.,1,positive
doesn't work at all.. i bougth it for my l7c and its not working.,0,negative
"the look of it is very sharp and the screen is nice and clear, with great graphics.",1,positive
doesn't last long.,0,negative
one thing i hate is the mode set button at the side.,0,negative
excellent service!!!!!!!!.,1,positive
thank you for wasting my money.,0,negative
how can that be?the audio quality is poor.,0,negative
the igo chargers and tips are really great.,1,positive
the file browser offers all the options that one needs.handsfree is great.,1,positive
superb phone on a great network.,1,positive
"i connected my wife's bluetooth,(motorola hs850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,positive
"i put the latest os on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,negative
it only recognizes the phone as its storage device.,0,negative
"if you like a loud buzzing to override all your conversations, then this phone is for you!",0,negative
don't buy this product.,0,negative
i've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,negative
the sound quality is good and functionality is awesome.,1,positive
"i have this phone and it is a thorn in my side, i really abhor it.",0,negative
i recently had problems where i could not stay connected for more than 10 minutes before being disconnected.,0,negative
incredible!.,1,positive
design flaw?.,0,negative
great phone!.,1,positive
waste of 13 bucks.,0,negative
"but when i check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then i'm lost.",0,negative
the replacement died in a few weeks.,0,negative
any ring tone..overall good phone to buy..,1,positive
lately they have been extremely nice and helpful on the phone.,1,positive
i have had problems wit hit dropping signal and more.,0,negative
not impressed.,0,negative
"light weight, i hardly notice it is there.",1,positive
you'll love how thin it is.,1,positive
bad choice.,0,negative
the pleather case doesn't fit.,0,negative
"useless phone, simply deaf.",0,negative
"the color is even prettier than i thought it would be, and the graphics are incredibly sharp.",1,positive
all in all i think it was a good investment.,1,positive
it makes very strange ticking noises before it ends the call.,0,negative
the best electronics of the available fm transmitters.,1,positive
battery lasts only a few hours.,0,negative
"great headset, very impressed - h500.",1,positive
"the ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,positive
i've had this for nearly 2 years and it has worked great for me.,1,positive
good transmit audio.,1,positive
we are sending it back.,0,negative
i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway.,0,negative
"if you hate earbugs, avoid this phone by all means.",0,negative
great price also!,1,positive
"the range is very decent, i've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,positive
fast service.,1,positive
i would highly recommend this.,1,positive
i would recommend this.,1,positive
"i also didn't like the ""on"" button, it felt like it would crack with use.",0,negative
worst phone ever.,0,negative
i'm still infatuated with this phone.,1,positive
freezes frequently4.,0,negative
it's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,negative
"simple, lightweight and great fit.",1,positive
"all in all, i'd expected a better consumer experience from motorola.",0,negative
there's a horrible tick sound in the background on all my calls that i have never experienced before.,0,negative
these are certainly very comfortable and functionality is decent.,1,positive
i usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,positive
i'm a bit disappointed.,0,negative
"i have had this phone for over a year now, and i will tell you, its not that great.",0,negative
i ordered this for sony ericsson w810i but i think it only worked once (thats when i first used it).,0,negative
the battery is completely useless to me.,0,negative
what a big waste of time.,0,negative
don't waste your $$$ on this one.,0,negative
great sound and service.,1,positive
really pleased with this product so far.,1,positive
one of my favorite purchases ever.,1,positive
best bluetooth on the market.,1,positive
authentic leather with nice shine and comfort .i recommend you this case !!,1,positive
i was very excited to get this headset because i thought it was really cute.,1,positive
do not make the same mistake as me.,0,negative
big disappointment with calendar sync.,0,negative
the phone was unusable and was not new.,0,negative
worst customer service ever.,0,negative
"no additional ear gels provided, and no instructions whatsoever.",0,negative
it defeats the purpose of a bluetooth headset.,0,negative
worth every penny.,1,positive
excellent wallet type phone case.,1,positive
nice headphones for the price and they work great!,1,positive
internet is excrutiatingly slow.,0,negative
"it is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,positive
"it's fits like a glove and is strong, secure, and durable.",1,positive
o my gosh the best phone i have ever had.,1,positive
it's very attractive and appears to be of good quality.,1,positive
i love all the features and form factor.,1,positive
this product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,negative
poor quality and service.,0,negative
"the cable looks so thin and flimsy, it is scary.",0,negative
great earpiece.,1,positive
excellent hands free tool.,1,positive
great for using with your home stereo.,1,positive
good product - incredible value.,1,positive
only had this a month but it's worked flawlessly so far.,1,positive
works great.,1,positive
absolutel junk.,0,negative
that one didn't work either.,0,negative
battery life is real good.,1,positive
returned 8 hours later.,0,negative
it's a great item.,1,positive
don't waste your money!.,0,negative
love this headset!,1,positive
"not only will it drain your player, but may also potentially fry it.",0,negative
worked perfectly!,1,positive
unreliable - i'm giving up.,0,negative
i gave it 5 stars because of the sound quality.,1,positive
avoid this one if you can.,0,negative
reversible plug works great.,1,positive
i wasted my little money with this earpiece.,0,negative
very good phone.,1,positive
"best of all is the rotating feature, very helpful.",1,positive
comfort for our whole family.,1,positive
"good product, good seller.",1,positive
i love this bluetooth!,1,positive
"first of all, it doesn't wear well.",0,negative
i am very impressed with this headset from plantronics.,1,positive
i got it because it was so small and adorable.,1,positive
i wouldn't recommend buying this product.,0,negative
piece of junk.,0,negative
poorly contstruct hinge.,0,negative
"this item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,positive
great phone.,1,positive
don't buy it.,0,negative
excellent phone.,1,positive
do not purchase this phone.,0,negative
the voice recognition thru the handset is excellent.,1,positive
this is hands down the best phone i've ever had.,1,positive
"works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,positive
this one works and was priced right.,1,positive
customer service was terrible.,0,negative
battery life still not long enough in motorola razor v3i.,0,negative
sending it back.,0,negative
now i know that i made a wise decision.,1,positive
someone shouldve invented this sooner.,1,positive
good price.,1,positive
everything worked on the first try.the device was certainly engineered in a clever way and the construction feels good.,1,positive
i received it quickly and it works great!!,1,positive
has been working great.,1,positive
"as many people complained, i found this headset's microphone was very weak.",0,negative
my 5-year old nokia 2160 from tracfone holds the charge a lot better than this.,0,negative
they do not care about the consumer one bit.,0,negative
"this is a good battery, and it got here really fast.",1,positive
the instruction manual is lacking.,0,negative
also its slim enough to fit into my alarm clock docking station without removing the case.,1,positive
phone now holds charge like it did when it was new.,1,positive
the battery is unreliable as well as the service use antena.,0,negative
it's uncomfortable and the sound quality is quite poor compared with the phone (razr) or with my previous wired headset (that plugged into an lg).,0,negative
we have gotten a lot of compliments on it.,1,positive
this is definitely a must have if your state does not allow cell phone usage while driving.,1,positive
i want my money back.,0,negative
i love this device.,1,positive
i am also very happy with the price.,1,positive
i ordered this product first and was unhappy with it immediately.,0,negative
the ngage is still lacking in earbuds.,0,negative
i was able to do voice dialing in the car with no problem.,1,positive
"i have 2-3 bars on my cell phone when i am home, but you cant not hear anything.",0,negative
"good item, low price.",1,positive
"however-the riingtones are not the best, and neither are the games.",0,negative
the plug did not work very well.,0,negative
amazon sucks.,0,negative
rip off---- over charge shipping.,0,negative
very comfortable.,1,positive
the battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,positive
the reception is excellent!,1,positive
"it fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,positive
"very clear, quality sound and you don't have to mess with the sound on your ipod since you have the sound buttons on the headset.",1,positive
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,negative
obviously there is a problem with the adhesive.,0,negative
very disappointing.,0,negative
"it was an inexpensive piece, but i would still have expected better quality.",0,negative
it is practically useless and did not add any kind of boost to my reception after i bought it.,0,negative
excellent sound quality.,1,positive
was not happy.,0,negative
a piece of junk that broke after being on my phone for 2 days!!!,0,negative
new battery works great in phone.,1,positive
worst customer service.,0,negative
"i've dropped my phone more times than i can say, even on concrete and my phone is still great (knock on wood!).",1,positive
reception is terrible and full of static.,0,negative
good audio quality.,1,positive
this little device has transformed my organizational capability and made my life a whole lot easier.,1,positive
"i was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,negative
were jerks on the phone.,0,negative
works like a charm.. works as advertised.,1,positive
"comfortable, nice range, good battery life.",1,positive
their network coverage in los angeles is horrible.,0,negative
excellent starter wireless headset.,0,negative
"the loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,negative
the only thing that i think could improve is the sound leaks out from the headset.,0,negative
"first off the reception sucks, i have never had more than 2 bars, ever.",0,negative
the phone gets extremely hot!,0,negative
"the microphone also works well, but (according to people i have called) it applifies everything.",1,positive
nice design and quality.,1,positive
"also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,negative
"it is light, easy to use, and has very clear reception and transmission.",1,positive
"bad fit, way too big.",0,negative
it definitely was not as good as my s11.,1,positive
awesome device.,1,positive
waste of money.,0,negative
"i had ordered a motorola data cable, got a very well finished and working product.",1,positive
love this phone.,1,positive
i was looking for this headset for a long time and now that i've got it i couldn't be happier.,1,positive
"i'll be drivng along, and my headset starts ringing for no reason.",0,negative
display is excellent and camera is as good as any from that year.,1,positive
battery life is also great!,1,positive
the worst phone i've ever had.... only had it for a few months.,0,negative
not a good item.. it worked for a while then started having problems in my auto reverse tape player.,0,negative
this is so embarassing and also my ears hurt if i try to push the ear plug into my ear.,0,negative
protects the phone on all sides.,1,positive
this is a very average phone with bad battery life that operates on a weak network.,0,negative
"clear skype calls, long battery life, long range.",1,positive
soyo technology sucks.,0,negative
great hands free device.,1,positive
"you can even take self portraits with the outside (exterior) display, very cool.",1,positive
same problem as others have mentioned.,0,negative
after trying many many handsfree gadgets this is the one that finally works well.,1,positive
magical help.,1,positive
the worst piece of crap ever along with the verizon customer service.,0,negative
poor sound quality.,0,negative
the best phone in market :).,1,positive
it worked very well.,1,positive
the company shipped my product very promptly and it works well.,1,positive
exactly what i wanted.,1,positive
the picture resolution is far below what other comparably-priced phones are offering today.,0,negative
this is a great deal.,1,positive
"excellent product, i am very satisfied with the purchase.",1,positive
i highly recommend these and encourage people to give them a try.,1,positive
better than you'd expect.,1,positive
"using all earpieces, left or right, this thing will not stay on my ear.",0,negative
great product and price.,1,positive
"sounds good reasonably priced and effective, its that simple !",1,positive
still waiting...... i'm sure this item would work well.. if i ever recieve it!,0,negative
what a disappointment,0,negative
very prompt service.,1,positive
excellent product for the price.,1,positive
very pleased with this headset.,1,positive
don't waste your money and time.,0,negative
i especially love the long battery life.,1,positive
"it's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0,negative
plantronics bluetooth excelent buy.,1,positive
i came over from verizon because cingulair has nicer cell phones.... the first thing i noticed was the really bad service.,0,negative
i'll be looking for a new earpiece.,0,negative
i highly recommend this device to everyone!,1,positive
jawbone era is awesome too!,1,positive
we received a white colored battery that goes dead after a couple hoursthe original used to last a week - but still lasts longer than thereplacement,0,negative
after a year the battery went completely dead on my headset.,0,negative
"i have used several phone in two years, but this one is the best.",1,positive
an awesome new look for fall 2000!.,1,positive
this is the first phone i've had that has been so cheaply made.,0,negative
"att is not clear, sound is very distorted and you have to yell when you talk.",0,negative
the plastic breaks really easy on this clip.,0,negative
price is good too.,1,positive
don't make the same mistake i did.,0,negative
oh and i forgot to also mention the weird color effect it has on your phone.,0,negative
i'm using it with an iriver spinn (with case) and it fits fine.,1,positive
also the area where my unit broke).- i'm not too fond of the magnetic strap.,0,negative
"overall, i am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1,positive
"every thing on phone work perfectly, she like it.",1,positive
"another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0,negative
it's really easy.,1,positive
my sanyo has survived dozens of drops on blacktop without ill effect.,1,positive
fantastic earphones.,1,positive
it finds my cell phone right away when i enter the car.,1,positive
low quality.,0,negative
i highly recommend this modest priced cellular phone.,1,positive
but it does get better reception and clarity than any phone i've had before.,1,positive
warning - stay away.,0,negative
